Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,volImbalance,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
1,VN30F1M,1,2020-01-02 02:00:00,877.6,879.5,876.6,878.6,12987.0,,volImbalance,1,,737426.0833333334,Value,1,1000000000.0,Broker,1,1000000000.0,1000000000.0,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0,BuySell,1,,
2,VN30F1M,2,2020-01-02 03:00:00,878.7,879.0,877.6,878.3,9228.0,,volImbalance,2,,737426.125,Value,2,1000000000.0,Broker,2,1000000000.0,1000000000.0,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0,BuySell,2,,
3,VN30F1M,3,2020-01-02 04:00:00,878.3,880.5,878.2,880.1,9285.0,,volImbalance,3,,737426.1666666666,Value,3,1000000000.0,Broker,3,1000000000.0,1000000000.0,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0,BuySell,3,,
4,VN30F1M,4,2020-01-02 06:00:00,880.3,884.9,880.3,884.0,24335.0,,volImbalance,4,,737426.25,Value,4,1000000000.0,Broker,4,1000000000.0,1000000000.0,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0,BuySell,4,,
5,VN30F1M,5,2020-01-02 07:00:00,884.1,886.3,884.0,886.3,14325.0,,volImbalance,5,,737426.2916666666,Value,5,1000000000.0,Broker,5,1000000000.0,1000000000.0,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0,BuySell,5,,
6,VN30F1M,6,2020-01-03 02:00:00,887.0,887.7,886.0,886.4,11619.0,,volImbalance,6,,737427.0833333334,Value,6,1000000000.0,Broker,6,1000000000.0,1000000000.0,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0,BuySell,6,,
7,VN30F1M,7,2020-01-03 03:00:00,886.4,886.6,883.6,884.3,12798.0,,volImbalance,7,,737427.125,Value,7,1000000000.0,Broker,7,1000000000.0,1000000000.0,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,BuySell,7,,
8,VN30F1M,8,2020-01-03 04:00:00,884.3,884.9,884.1,884.8,4505.0,,volImbalance,8,,737427.1666666666,Value,8,1000000000.0,Broker,8,1000000000.0,1000000000.0,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,BuySell,8,,
9,VN30F1M,9,2020-01-03 06:00:00,884.3,884.4,881.6,883.2,21959.0,,volImbalance,9,,737427.25,Value,9,1000000000.0,Broker,9,1000000000.0,1000000000.0,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,BuySell,9,,
10,VN30F1M,10,2020-01-03 07:00:00,883.4,884.2,879.5,879.5,18905.0,,volImbalance,10,,737427.2916666666,Value,10,1000000000.0,Broker,10,1000000000.0,1000000000.0,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,BuySell,10,,
11,VN30F1M,11,2020-01-06 02:00:00,877.5,878.1,876.5,876.5,11163.0,,volImbalance,11,,737430.0833333334,Value,11,1000000000.0,Broker,11,1000000000.0,1000000000.0,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,BuySell,11,,
12,VN30F1M,12,2020-01-06 03:00:00,876.5,879.7,876.5,879.0,12824.0,,volImbalance,12,,737430.125,Value,12,1000000000.0,Broker,12,1000000000.0,1000000000.0,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,BuySell,12,,
13,VN30F1M,13,2020-01-06 04:00:00,879.0,883.3,878.6,883.3,9275.0,,volImbalance,13,,737430.1666666666,Value,13,1000000000.0,Broker,13,1000000000.0,1000000000.0,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,BuySell,13,,
14,VN30F1M,14,2020-01-06 06:00:00,882.8,883.0,875.2,877.1,28521.0,,volImbalance,14,,737430.25,Value,14,1000000000.0,Broker,14,1000000000.0,1000000000.0,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,BuySell,14,,
15,VN30F1M,15,2020-01-06 07:00:00,877.0,877.9,871.6,872.0,21451.0,,volImbalance,15,,737430.2916666666,Value,15,1000000000.0,Broker,15,1000000000.0,1000000000.0,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,BuySell,15,,
16,VN30F1M,16,2020-01-07 02:00:00,873.9,874.4,871.7,873.1,15270.0,,volImbalance,16,,737431.0833333334,Value,16,1000000000.0,Broker,16,1000000000.0,1000000000.0,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,BuySell,16,,
17,VN30F1M,17,2020-01-07 03:00:00,873.1,875.7,872.8,875.1,19446.0,,volImbalance,17,,737431.125,Value,17,1000000000.0,Broker,17,1000000000.0,1000000000.0,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0,BuySell,17,,
18,VN30F1M,18,2020-01-07 04:00:00,875.1,876.7,875.0,875.8,8667.0,,volImbalance,18,,737431.1666666666,Value,18,1000000000.0,Broker,18,1000000000.0,1000000000.0,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.0,BuySell,18,,
19,VN30F1M,19,2020-01-07 06:00:00,875.5,877.5,873.3,874.9,27308.0,,volImbalance,19,,737431.25,Value,19,1000000000.0,Broker,19,1000000000.0,1000000000.0,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.0,BuySell,19,,
20,VN30F1M,20,2020-01-07 07:00:00,874.7,876.3,874.1,875.0,12587.0,,volImbalance,20,,737431.2916666666,Value,20,997305000.0000004,Broker,20,997304930.0000004,997305000.0000004,Trades - Net Profit/Loss,20,,,DrawDown,20,0.2694999999999642,0.2694999999999642,BuySell,20,,874.7
21,VN30F1M,21,2020-01-08 02:00:00,868.3,870.5,868.2,870.1,20690.0,,volImbalance,21,,737432.0833333334,Value,21,1031388000.0000002,Broker,21,1031387930.0000002,1031388000.0000002,Trades - Net Profit/Loss,21,,,DrawDown,21,0.0,0.2694999999999642,BuySell,21,,
